product_name,nutriscore_grade,nutriscore_score,nova_group,energy-kcal_100g,saturated-fat_100g,sugars_100g,sodium_100g,fruits-vegetables-nuts_100g,fiber_100g,proteins_100g
Duo haricots verts et beurre extra fins coupés d'aucy 455g,b,1.0,3.0,26.0,0.0,0.7,0.224,100.0,3.0,1.6
Haricots verts ext.fins cueillis rangés main Sél.ailleurs d'aucy 280g,a,-2.0,3.0,18.0,0.0,1.1,0.3,100.0,2.5,1.3
Betteraves rouges en dés d'aucy cart.3x130g,a,-2.0,3.0,40.0,0.0,6.5,0.216,100.0,2.6,1.1
2400g chili con carne barquette d 'aucy,b,2.0,3.0,118.0,2.0,2.6,0.308,40.0,4.1,7.5
Couscous de légumes et boulettes aux lentilles Plat Veggie d'aucy 320g,b,1.0,4.0,110.0,0.4,1.5,0.284,45.0,3.2,5.8
Lasagnes aux légumes du soleil Plat Veggie d'aucy 320g,b,2.0,4.0,109.0,0.9,2.7,0.336,71.6,2.7,3.0
Colin Alaska Riz citronné Crème St.Jacques Plat de la mer d'aucy 280g,c,3.0,4.0,110.0,0.8,0.4,0.328,12.9,1.1,5.7
Ratatouille cuisinée huile olive sans sel ajout.Bio engagé d'aucy 530g,a,0.0,3.0,52.0,0.4,5.0,0.384,97.0,2.4,1.2
Pois chiches sans sel ajouté Bio engagé d'aucy 340g,a,-6.0,1.0,120.0,0.3,0.3,0.004,100.0,5.5,6.7
Lentilles vertes cuisinées sans sel ajouté Bio engagé d'aucy 530g,b,-5.0,3.0,78.0,0.0,0.6,0.26,50.0,3.1,5.9
Haricots verts Bio engagé d'aucy 290g,a,-3.0,3.0,24.0,0.0,0.7,0.184,100.0,2.9,1.8
Petits pois aux oignons fondants Bio engagé d'aucy 340g,a,-7.0,3.0,80.0,0.1,1.7,0.2,100.0,5.7,5.4
Linsen,a,-6.0,1.0,81.0,0.0,0.3,0.084,90.0,3.7,6.3
Erbsen & Möhren dampfgegart,a,-9.0,1.0,62.0,0.1,2.4,0.008,71.0,5.4,4.2
